ID,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
4702,85.96,146.45,8.34,56.54,33.17,17.34,1.69,4.73,63.27,1.21,0.56,
4703,62.08,113.87,20.4,43.41,39.5,15.09,1.46,3.14,57.1,1.47,0.34,
4704,56.57,100.3,10.84,35.08,33.68,40.86,1.73,4.27,37.83,1.19,0.41,
4705,42.58,108.68,9.51,23.5,19.24,27.19,1.51,3.45,31.32,0.68,0.37,
4706,49.6,145.32,9.96,24.34,19.72,24.05,1.66,4.46,25.02,0.94,0.34,
4707,54.56,138.17,10.56,19.86,17.74,,1.51,4.12,29.33,0.74,0.26,
4708,44.26,146.23,10.47,26.16,20.93,25.75,1.51,3.9,42.53,1.22,0.35,
4709,53.12,116.89,9.46,30.94,22.89,29.92,1.47,3.2,36.37,0.98,0.46,
4710,57.32,107.54,10.18,34.98,25.44,29.87,1.45,2.88,49.63,1.16,0.5,
4711,90.07,127.67,7.72,32.23,22.31,29.34,1.57,3.26,38.32,1.01,0.45,
4712,134.69,142.12,4.88,32.14,20.48,30.6,1.12,2.99,42.23,1.08,0.47,
4713,110.05,100.07,11.92,38.67,25.42,28.79,0.94,4.85,59.43,0.89,0.58,
4714,66.98,100.6,9.08,37.3,25.34,27.07,0.73,6.91,64.9,0.89,0.54,
4715,51.96,102.39,10.53,28.51,22.43,24.1,0.94,5.29,37.26,0.51,0.48,
4716,36.28,98.29,12.77,41.88,27.18,5.47,0.81,3.09,30.33,0.45,0.2,
4717,35.63,115.9,12.59,47.36,24.09,4.09,0.79,3.52,29.08,0.67,0.27,
4718,41.64,144.04,11.73,30.64,23.56,3.83,1.01,3.16,39.28,0.74,0.3,
4719,39.21,154.64,42.33,42.55,51.48,13.53,0.84,3.5,37.68,0.81,0.28,
4720,42.17,134.78,19.36,33.44,29.43,22.47,0.56,2.24,31.99,0.87,0.32,
4721,54.91,148.57,6.3,31.09,18.25,22.73,0.58,1.91,49.42,0.87,0.47,
4722,54.04,137.04,9.52,38.09,25.03,21.95,0.62,2.45,42.21,1.02,0.49,
4723,55.72,132.73,5.47,31.96,18.66,23.49,1.68,2.36,38.54,0.94,0.37,
4724,45.98,120.86,3.63,22.73,12.1,23.84,0.77,2.12,49.65,0.62,0.32,
4725,43.69,120.32,4.16,24.23,13.82,23.77,0.58,2.05,45.07,0.63,0.35,
4726,44.74,122.4,10.23,41.83,24.9,23.93,1.41,2.82,49.67,0.92,0.43,
4727,51.06,150.19,10.44,47.14,30.04,33.25,0.97,4.02,38.62,0.94,0.46,
4728,53.1,161.1,13.13,43.2,34.09,31.23,1.51,3.14,35.52,0.96,0.55,
4729,60.7,173.24,13.82,36.11,33.16,33.7,1.03,3.61,40,4.06,1.47,
4730,59.53,163.88,7.19,26.64,19.89,26.04,0.86,3,58.17,2.83,1.59,
4731,64.29,144.67,5.68,21.86,14.6,21.27,0.57,2.75,68.09,1.8,1.2,
4732,67.65,148.74,6.95,33.09,20.19,23.37,0.79,2.95,77.42,1.67,1.76,
4733,68.48,144.33,15.88,36.46,25.68,24.7,1.28,2.93,47.78,1.68,1.25,
4734,76.33,144.2,11.08,39.12,26.5,36.52,1.19,2.85,98.66,3,2.51,
4735,72.22,151.36,11.89,25.76,18.7,29.15,0.89,3.24,39.82,1.41,1.65,
4736,60.58,194,7.91,18.32,15.69,26.55,0.96,2.89,35.81,1.49,1.3,
4737,98.29,206.35,10.49,32.29,24.48,29.65,1.22,2.53,33.32,2.42,1.62,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4752,53.54,157.92,8.11,26.49,18.69,19.18,1,2.97,34.38,3.58,1.85,
4753,54.8,165.25,12.49,39.97,28.58,45.69,0.85,4.65,26.66,4.25,2.3,
4754,49.84,215.52,19.66,50.15,45.68,22.62,1.11,4.27,29.98,3.43,2.08,
4755,63.16,254.77,7.65,52.29,24.61,28.88,1.18,3.67,43.57,2.12,1.84,
4756,46.24,208.97,3.14,17.79,10.68,23.17,1.19,3.17,67.46,3.08,1.81,
4757,34.18,318.02,3.97,17.37,11.52,19.5,1.03,2.2,58.76,1.56,0.9,
4758,33.01,152.78,27.61,38.54,32.63,18.87,1.13,3.61,53.57,1.42,0.94,
4759,31.3,144.68,4.2,19.45,13.01,16.4,1.03,2.75,62.4,1.34,0.99,
4760,31.68,159.23,4.37,19.05,12.52,20.63,1.86,2.87,58.82,1.78,1.32,
4761,36.98,177.82,3.86,14.71,9.61,17.27,1.25,3.1,74.34,2.44,1.9,
4762,36.88,159.45,16.58,30.43,26.02,30.91,0.81,5.44,60.73,1.39,1.14,
4763,35.46,224.24,9.73,31.64,23.58,25.67,1.08,3.19,109.97,0.98,1.14,
4764,35.31,196.65,6.29,18.99,14.15,26.03,1.07,3.9,76.46,1.74,1.19,
4765,34.85,171.26,4.84,10.08,8.09,26.81,1.02,3.06,67.25,1.09,1.14,
4766,36.9,145.98,3.37,9.89,7.11,24.31,0.78,2.36,77.75,2.29,1.41,
4767,38.81,158.75,5.65,16.09,11.74,25.84,1.37,2.74,49.33,3.09,2.52,
4768,34.65,134.47,4.35,12.86,9.5,25.01,1.87,2.71,50.77,2.86,2.91,
4769,31.89,160.06,4.69,19.53,10.82,25.6,1.65,3.82,62.54,6.46,4.3,
4770,33.61,168.98,5.82,13.97,11.33,22.65,0.64,6.92,65.97,9.52,6.04,
4771,34.83,130.54,6.28,10.21,9.96,26.41,0.94,4.09,48.47,9.6,5.93,
4772,39.01,107.52,9.13,19.84,18.09,27.43,0.98,3.9,49.78,14.91,7.88,
4773,39.53,92.73,7.26,19.55,15.68,20.86,2.09,4.16,47.44,16.39,8.95,
4774,37.17,103.22,6.77,16.25,13.99,25.49,0.71,3.39,47.77,5.19,4.95,
4775,39.88,68.46,7.67,21.35,16.08,24.94,0.72,3.74,56.94,11.29,6.26,
4776,32.59,56.09,5.91,22.96,15.81,19.65,1.53,5.23,43.48,3.72,3.43,
4777,47.42,54.05,20.84,22.55,33.44,18.06,0.6,5.65,39.29,7.21,11.94,
4778,48.78,58.28,5.64,23.05,16.42,17.12,0.67,4.34,47.83,8.11,5.52,
4779,46.6,59.08,9.97,20.19,21.66,17.48,0.82,4.12,53.75,5.29,3.32,
4780,35.86,63.4,4.47,23.12,15.99,16.11,0.49,4.17,74.38,5.35,4.4,
4781,39.87,63.61,8.72,28.17,18.17,19.71,0.62,5.62,68.49,5.57,4.86,
4782,40.79,63.42,6.61,43.48,25.98,20.1,0.6,4.37,46.14,4.44,7.41,
4783,57.96,56.57,4.08,32.02,18.21,16.71,0.55,4.58,45.77,3.68,5.24,
4784,46,58.14,13.5,34.28,24.08,17.66,0.66,7.17,40.96,6.79,6.71,
4785,23.99,35.12,2.85,19.03,11.43,16.79,1.15,4.1,95.21,1.74,2.88,
4786,27.21,44.02,26.89,34.02,34.92,17.82,0.69,3.15,53.32,2.45,5.18,
4787,26.43,42.02,69.97,75.84,64.74,16.68,0.6,2.89,52.09,1.77,4.01,
4788,20.46,34.82,6.44,26.1,15.86,16.5,0.6,3.66,58.13,3.77,5.69,
4789,32.5,230.2,5.74,20.91,14.43,16.75,0.99,4.01,50.62,2.74,6.69,
4790,57.81,50.58,4.39,12.56,8.77,16.13,0.88,3.11,45.59,2.98,6.78,
4791,31.19,54.8,7.37,14.44,13.47,19.08,0.67,3.77,54.95,2.79,7.96,
4792,34.06,45.82,5.54,10.89,8.46,23.06,0.72,4.08,70.86,3.24,5.73,
4793,33.05,52.87,22.08,31.46,28.58,,0.61,2.78,53.86,3.5,5.65,
4794,28.39,46.27,4.27,11.86,9.25,,0.46,2.94,41.46,2.06,3.53,
4795,27.01,39.39,6.67,18.35,15.54,19.96,0.91,4.16,22.93,3.3,3.76,
4796,36.67,42.55,5.28,21.65,15.22,11.28,0.61,3.71,20.18,2.48,4.97,
4797,27.51,41.15,11.01,23.46,20.58,36.19,0.47,5.04,20.14,2.43,7.06,
4798,28.47,29.97,2.66,5.53,4.62,7.22,0.56,4.42,32.59,1.54,2.92,
4799,22.27,33.48,2.09,10.54,6.35,7.84,0.52,3.81,30.79,1.32,3.34,
4800,42.52,41.96,1.96,8.91,5.78,8.66,0.42,4.46,29.76,1.35,3.81,
4801,152.94,43.16,1.41,9.86,5.87,9.56,1.08,3.36,27.96,1.99,12.03,
4802,28.65,52.72,1.84,11.01,6.74,9.71,0.78,3.91,32.6,2.03,5.53,
4803,25.75,40.98,1.55,6.83,4.57,10.37,0.42,4.91,31.86,1.28,3.75,
4804,,32.45,2.12,8.52,5.85,24.05,0.43,5.53,,,1.29,
4805,,34.84,1.87,8.02,5.43,21.54,0.49,7,,,1.23,
4806,,39.88,1.78,7.12,4.86,21.52,0.43,5.81,,,1.14,
4807,,36.26,1.82,7.81,5.28,21.36,0.43,4.2,,,1.15,
4808,,19.21,1.69,7.3,4.9,17.98,0.49,2.55,,,1.19,
4809,35.98,29.59,3.03,14.57,9.75,30.8,0.76,4.5,,,1.93,
4810,27.6,32.09,5,25.1,16.73,56.94,0.65,4.83,,,1.64,
4811,17.15,26.07,4.41,31.6,19.55,75.14,0.4,4.74,,,1.58,
4812,17.71,21.58,3.79,18.64,12.31,29.71,0.43,2.68,,,1.14,
4813,,33.69,2.59,10.15,6.67,,0.39,1.9,,,,
4814,,28.67,2.41,10.81,6.86,,0.41,2.15,,,,
4815,,32.38,2.18,9.08,5.85,,0.36,2.18,,,,
4816,,21.86,2.14,8.56,5.56,,0.33,1.82,,,,
4817,,20.31,2.6,11.68,7.43,,0.36,1.69,,,,
4818,,19.38,2.25,9.28,5.99,,0.34,2.24,,,,
4819,,20.5,2.23,9.93,6.3,,0.38,2.14,,,,
4820,,19.97,2.3,10.05,6.41,,0.37,2.28,,,,
4821,,21.74,2.11,10.14,6.31,,0.35,2.17,,,,
4822,,24.12,2.01,8.84,5.6,,0.34,1.99,,,,
4823,,23.79,2.28,9.8,6.27,,0.34,2.16,,,,
4824,,23.6,2.62,12.82,7.99,,0.41,2.02,,,,
4825,,38.42,2.47,14.43,8.67,,0.4,2.09,,,,
4826,,27.07,2.27,10.93,6.81,,0.34,2,,,,
4827,33.9,48.51,5.99,18.94,14.16,38.77,0.97,3.39,14.93,1.75,9.06,
4828,31.98,80.7,7.93,20.46,17.06,34.41,3.8,4.05,9.69,1.59,4.16,
4829,26.77,105.43,6.42,15.29,10.44,31.78,4.02,4.64,11.99,1.01,2.51,
4830,27.61,72.63,9.28,21.69,16.62,37.12,2.12,4.5,10.92,1.16,1.58,
4831,28.24,194.62,6.57,15.81,14.49,36.79,0.47,7.48,,,0.4,
4832,29.83,23.86,5.48,17.61,12.97,32.55,0.33,1.79,31.87,1.57,2.94,
4833,19,15.46,3.39,16.91,9.84,32.35,1.61,1.9,53.33,1.11,2.73,
4834,15.04,23.51,3.91,17.15,9.58,30.59,5.43,1.73,65.62,0.95,1.96,
4835,,,,,,,,,,,,
4836,,,,,,,,,,,,
4837,16.54,48.92,9.12,26.15,19.61,43.21,3.02,2.1,45.27,1.27,2.65,
4838,27.23,34.13,8.54,23.71,21.32,45.56,3.63,1.87,38.45,1.08,2.2,
4839,115.98,17.1,8.59,24.19,19.33,44.18,2.48,1.58,39.09,0.97,2.58,
4840,13.95,48.92,7.33,20.42,16.49,37.66,3.55,1.86,39.53,0.95,1.91,
4841,25,35.36,5.42,19.59,17.99,41.94,5.62,1.26,44.86,0.87,1.8,
4842,31.8,9.93,3.27,15.96,10.19,35.09,6.28,1.1,51.84,0.79,2.05,
4843,17.36,30.52,10.96,20.82,16.04,29.15,7.87,1.54,42.29,0.77,2.03,
4844,19.4,112.27,12.8,23.11,19,32.37,4.04,1.86,33.37,1.07,2.26,
4845,18.36,57.25,10.01,19.9,17.76,31.94,2.27,2.18,35.67,0.53,0.53,
4846,17.26,42.66,6,13.18,13.25,32.42,0.42,1.77,,,0.31,
4847,15.02,33.56,3.18,13.05,11.82,35.53,1.28,2.96,,,2.09,
4848,,49.66,8.12,18.6,16.82,28.85,0.57,5.22,,,0.32,
4849,,51.22,7.27,15.69,14.37,28.08,0.46,4.04,,,0.31,
4850,8.98,27.9,3.12,8.98,9,25.57,0.38,2.23,,,0.34,
4851,,51.32,3.64,13.36,10.15,24.14,0.53,3.13,,,0.27,
4852,,41.88,3.17,11.15,8.45,17.58,1.51,3.46,,,9.14,
4853,,40.21,3.27,7.84,5.83,14.47,0.55,1.94,,,,
4854,,52.13,6.23,14.43,11.43,18.34,0.61,2.89,,,,
4855,,39.43,9.54,23.36,17.74,15.33,1.48,2.96,,,38.52,
4856,,33.87,13.06,33.33,25.12,,0.69,2.8,,,,
